2024-07-27 22:04:39,198 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,198 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,198 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,198 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,198 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,198 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,229 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,314 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,315 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,315 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,315 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,315 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,315 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,316 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,316 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,316 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,317 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,319 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,319 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,319 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,319 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,345 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,378 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,378 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,378 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,379 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,379 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,379 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,379 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,379 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,379 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,380 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,380 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,380 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,380 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,380 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:39,403 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,273 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,282 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,282 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,282 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,282 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,283 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,283 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,283 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,283 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,283 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,283 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,283 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,283 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,283 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,325 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,395 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,395 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,395 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,395 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,395 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,396 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,396 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,396 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,396 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,396 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,396 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,396 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,397 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,397 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,419 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,547 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,547 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,547 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,547 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,547 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,548 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,548 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,548 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,548 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,548 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,548 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,548 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,549 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,549 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,591 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,626 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,626 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,626 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,627 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,627 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,627 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,627 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,627 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,627 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,628 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,628 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,628 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,628 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,628 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:41,656 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,015 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,015 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,016 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,016 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,016 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,016 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,016 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,017 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,017 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,017 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,017 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,017 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,017 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,017 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,040 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,068 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,069 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,069 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,069 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,069 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,069 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,070 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,070 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,070 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,070 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,070 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,070 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,070 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,070 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,092 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,211 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,212 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,212 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,212 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,212 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,213 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,213 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,213 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,214 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,214 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,215 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,215 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,215 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,215 [INFO] ADCParametersView:116 -                Rank 1 : false
2024-07-27 22:04:42,247 [INFO] ADCParametersView:116 -                Rank 1 : false
